date,latitude,longitude,zon.winds,mer.winds,humidity,air temp.
01-01-1997,0.07,-110,-3.1,1.4,89.6,22.66
02-01-1997,0.07,-110,-2.8,3,86.8,22.45
03-01-1997,0.07,-110,-5.2,3.3,85.2,22.14
04-01-1997,0.07,-110,-5.7,1.6,86.8,22.19
05-01-1997,0.07,-110,-5.1,1.5,83.6,22.34
06-01-1997,0.08,-110,-3.5,3.7,85.2,22.19
07-01-1997,0.08,-110,-2.8,3.2,85.2,22.1
08-01-1997,0.08,-110,-2.8,2.3,86,21.94
09-01-1997,0.08,-110,-4.6,2,82.8,22.45
10-01-1997,0.08,-110,-5.3,2.9,81.2,22.5
11-01-1997,0.08,-110,-4.4,3.6,82,22.34
12-01-1997,0.08,-110,-3.4,3,83.2,22.34
13-01-1997,0.09,-110,-2,4.2,85.2,22.62
14-01-1997,0.09,-110,-3.5,4.3,86,22.66
15-01-1997,0.09,-110,-2.8,4.4,88,22.78
16-01-1997,0.08,-110,-1.9,6.5,86.4,23.03
17-01-1997,0.08,-110,-3.1,5.4,85.2,23.06
18-01-1997,0.08,-110,-3.3,4.2,85.2,23.06
19-01-1997,0.08,-110,-2.7,4,82.4,23.16
20-01-1997,0.08,-110,-1.7,4,84,23.23
21-01-1997,0.07,-110,-2.2,4.7,84.8,23.75
22-01-1997,0.07,-110,-2.6,5.8,85.6,23.23
23-01-1997,0.07,-110,-2.3,6.1,83.2,23.27
24-01-1997,0.07,-110,-0.9,6.3,84.8,23.62
25-01-1997,0.07,-110,-0.9,6.5,83.6,23.83
26-01-1997,0.07,-110,-2.1,6.3,81.2,24.06
27-01-1997,0.07,-110,-3.4,6.1,80.8,24.6
28-01-1997,0.08,-110,-2.9,7.8,80.8,24.52
29-01-1997,0.08,-110,-1.9,7.9,80.8,24.2
30-01-1997,0.08,-110,-3.2,5.7,78.8,23.98
31-01-1997,0.08,-110,-3,4.4,80.4,23.83
01-02-1997,0.08,-110,-3.8,3.3,82.4,23.55
02-02-1997,0.09,-110,-2.8,3,85.2,23.44
03-02-1997,0.08,-110,-2.4,3.3,84.4,23.23
04-02-1997,0.08,-110,-1.7,4,86.8,23.47
05-02-1997,0.08,-110,-2.8,2.1,86.8,23.67
06-02-1997,0.08,-110,-2.7,2.7,89.2,23.7
07-02-1997,0.08,-110,-3,3.2,89.2,23.7
08-02-1997,0.09,-110,-2.6,3.1,89.6,23.75
09-02-1997,0.08,-110,-2.3,1.2,89.6,23.98
10-02-1997,0.09,-110,-3.8,1.1,88.8,24.2
11-02-1997,0.09,-110,-4.9,1.7,85.6,24.06
12-02-1997,0.09,-110,-3.7,2.9,86,24.16
13-02-1997,0.09,-110,-3.4,3.2,86.4,24.95
14-02-1997,0.09,-110,-6.7,2.5,82.8,23.42
15-02-1997,0.09,-110,-5.4,2.1,82.9,23.73
16-02-1997,0.09,-110,-3.3,-0.6,91.9,23.98
17-02-1997,0.09,-110,-4.5,2.6,92.7,24.27
18-02-1997,0.09,-110,-6.4,3.5,86.4,24.23
19-02-1997,0.08,-110,-6.2,3.1,85.8,24.31
20-02-1997,0.08,-110,-6.2,-4.7,88.8,25.66
21-02-1997,0.07,-110,-7.7,1,88,24.89
22-02-1997,0.08,-110,-5,-0.9,89.2,23.98
23-02-1997,0,-110,-5.7,1.7,87.5,23.98
24-02-1997,-0.01,-109.94,-5.4,2.9,83.3,25.45
25-02-1997,-0.01,-110,-4.5,2.7,86.1,25.48
26-02-1997,0,-110,-4.1,1.6,89.6,24.83
27-02-1997,0,-110,-2,1.5,89,24.44
28-02-1997,0,-110,-1.9,1.5,83.8,25.44
01-03-1997,0,-110,-3.5,2.6,84.1,25.61
02-03-1997,0.01,-110,-2.9,3.1,86.2,25.5
03-03-1997,0,-110,-0.4,-0.5,90.9,24.33
04-03-1997,0,-110,0.1,0.3,84.3,25.34
05-03-1997,0.01,-109.94,0.1,2.7,83.7,26
06-03-1997,0.01,-110,-0.8,2.5,82.9,26.1
07-03-1997,0.01,-110,-3.3,3,85.7,25.8
08-03-1997,0.01,-110,-3.5,2,87.2,25.5
09-03-1997,0.01,-110,-2.4,1.6,86.1,25.8
10-03-1997,0.01,-110,-3.1,-0.3,86.9,25.95
11-03-1997,0.01,-110,-1.9,0.4,86.5,25.95
12-03-1997,0.01,-110,-0.7,-1.7,85.2,26.33
13-03-1997,0.01,-110,-3.3,-0.7,87.4,26.16
14-03-1997,0.01,-110,-1.6,1.7,89.5,25.39
15-03-1997,0,-110,-1.7,2.8,87.9,24.98
16-03-1997,0.01,-110,0.9,2.5,87.8,25.55
17-03-1997,0.01,-110,1,0.8,87,25.88
18-03-1997,0.01,-110,0.1,-1.6,88.2,25.83
19-03-1997,0.01,-110,0,1.9,83.9,25.06
20-03-1997,0.01,-110,0.6,1.3,78.1,26.23
