date,latitude,longitude,zon.winds,mer.winds,humidity,air temp.
1995-06-22,2.0,165.0,-3.3,-1.9,79.4,28.95
1995-01-13,4.99,156.0,-3.5,-2.2,82.0,27.86
1995-07-09,-4.97,-125.0,-8.2,1.5,84.2,26.02
1996-07-17,8.01,165.0,-5.4,-1.0,84.1,28.38
1993-08-23,2.06,165.0,2.0,0.6,75.4,28.47
1993-07-14,-0.04,-170.0,-6.2,-1.0,75.5,28.98
1995-08-13,-1.98,-155.0,-6.5,0.4,82.1,27.0
1993-12-02,2.06,165.0,0.2,-0.7,75.4,29.56
1994-05-02,-4.99,-95.0,-4.2,4.2,81.0,26.69
1996-11-28,-4.99,-110.0,-5.5,1.5,82.1,22.94
1996-08-04,2.06,-155.0,-4.0,2.7,74.3,26.16
1981-10-26,-0.02,-94.94,-2.4,2.2,87.9,21.06
1996-04-07,8.04,-170.0,-7.1,-4.4,77.7,27.48
1985-11-22,-8.03,-109.94,-6.6,2.2,82.0,23.33
1988-07-19,8.99,-140.1,0.7,5.8,92.2,26.8
1993-04-07,8.04,165.1,-4.6,-6.0,78.7,27.62
1992-06-21,2.02,-110.06,-8.6,-0.6,75.4,26.69
1981-01-29,0.0,-109.56,-1.9,3.0,88.5,23.25
1993-04-20,-4.97,-140.0,0.6,-4.1,79.3,28.44
1991-08-04,8.99,-140.2,-1.8,-1.1,84.4,27.12
1993-06-11,2.09,165.0,2.0,-0.6,83.2,27.84
1988-04-18,2.07,-110.1,-1.3,1.3,86.6,25.72
1995-04-10,8.0,-170.0,-4.6,-1.3,82.7,27.94
1993-07-12,-2.0,-94.94,-4.5,2.8,93.5,22.17
1990-08-02,1.99,-110.1,-0.6,5.3,80.9,22.44
1993-01-02,-4.97,-140.0,-5.6,-2.4,77.3,26.39
1995-05-24,-1.94,164.4,5.5,4.0,79.7,27.81
1988-01-21,2.0,-140.1,-4.9,2.9,78.9,26.38
1991-08-21,-2.03,-109.94,-6.4,2.3,79.1,23.42
1996-03-28,-2.0,-110.0,-1.7,-1.0,90.3,26.3
1986-01-04,-8.03,-109.94,-8.8,1.9,75.4,23.8
1988-11-15,1.99,-110.1,-3.6,3.1,84.1,22.94
1985-10-31,-0.02,-140.0,-6.5,2.6,79.2,25.94
1993-05-15,7.96,-155.0,-5.4,-0.1,81.6,28.31
1994-07-25,5.02,-140.0,-7.7,0.9,79.8,27.31
1995-03-09,5.04,-94.94,-1.4,0.7,87.1,25.94
1995-07-30,-8.03,-95.06,-6.6,3.7,81.0,22.02
1991-01-27,-5.04,-109.94,-7.2,3.6,79.7,24.55
1988-01-30,-1.99,-140.0,-8.6,3.6,83.8,26.48
1996-07-16,7.97,-155.0,-4.2,-1.8,84.8,26.75
1993-06-04,-2.19,-170.0,-4.9,-2.6,81.3,29.12
1996-07-02,4.98,-170.0,-2.6,0.0,88.1,27.83
1991-09-11,-1.98,-140.0,-4.0,3.8,83.2,26.16
1981-10-07,-0.02,-94.94,-3.3,5.9,84.1,21.55
1993-12-12,4.97,137.0,-4.1,-3.6,84.5,28.12
1995-06-10,-1.99,-140.0,-4.2,-1.5,80.1,26.14
1996-08-19,4.98,-169.9,-5.9,0.7,73.5,28.55
1995-01-30,2.0,165.0,-3.8,-1.3,78.6,28.97
1996-08-30,2.01,-179.8,-1.8,-1.5,80.9,28.2
1987-04-01,0.0,-109.94,4.4,2.1,80.9,26.89
1996-12-10,0.08,-110.0,-5.4,-0.6,89.6,21.12
1996-02-11,-8.02,-95.1,-4.1,4.2,89.8,24.66
1993-06-04,-7.97,-125.0,-8.1,0.2,86.0,27.78
1994-12-20,4.95,137.0,3.0,1.7,82.8,27.58
1995-12-08,-0.31,-96.06,-1.5,3.0,95.4,21.1
1993-05-26,2.04,137.0,-2.7,-0.3,82.9,28.19
1993-07-23,1.99,-140.0,-7.4,1.4,84.8,25.66
1994-05-08,-2.0,-110.0,-5.1,-1.3,89.2,25.73
1996-08-31,0.0,-179.9,-3.2,-0.5,74.8,27.31
1996-10-17,-4.99,-139.9,-6.9,0.1,84.1,26.25
1992-12-12,0.01,-155.0,-4.5,0.7,78.6,26.97
1995-10-21,5.29,-124.9,-5.5,4.7,72.5,26.02
1996-07-19,-0.2,-124.3,-7.0,1.3,80.5,25.16
1988-03-01,-5.04,-109.8,-4.0,2.2,79.7,26.55
1995-06-12,9.0,-140.2,-3.3,2.6,84.9,26.9
